time,observed_speed,target_speed,observed_distance
1711027926.979146,0.3357588554955197,0.25,0.0
1711027927.026361,0.21861677655849818,0.25,0.0
1711027927.073581,0.11259798322634583,0.25,0.0
1711027927.120644,0.06971603157565723,0.25,0.0
1711027927.183146,0.21448874704535148,0.25,0.0
1711027927.230391,0.3562239414216655,0.25,0.0
1711027927.276148,0.4729645473275508,0.25,0.0
1711027927.322758,0.44471770437380265,0.25,0.0
1711027927.368843,0.32619557797272436,0.25,0.010000000000000675
1711027927.430756,0.2092400964728433,0.25,0.03000000000000025
1711027927.490702,0.1131810479630446,0.25,0.03000000000000025
1711027927.522742,0.14909418476167619,0.25,0.03000000000000025
1711027927.569181,0.24482771783076313,0.25,0.009999999999999787
1711027927.614915,0.3864689978444807,0.25,0.009999999999999787
1711027927.675725,0.4429135491988288,0.25,0.009999999999999787
1711027927.722737,0.36552059455981867,0.25,0.009999999999999787
1711027927.78505,0.24805179136176123,0.25,0.0
1711027927.832111,0.13125423458831345,0.25,0.0
1711027927.878906,0.09486304601755265,0.25,0.0
1711027927.925459,0.13423333228033393,0.25,0.0
1711027927.97215,0.2768504581550947,0.25,0.0
1711027928.034468,0.4181970190472579,0.25,-0.009999999999999787
1711027928.066513,0.4447425321945994,0.25,-0.009999999999999787
1711027928.128712,0.39206919778147753,0.25,-0.009999999999999787
1711027928.176547,0.27434446979013855,0.25,-0.020000000000000462
1711027928.223313,0.15738080911976274,0.25,-0.020000000000000462
1711027928.270331,0.11734980766494,0.25,-0.020000000000000462
1711027928.318464,0.2203846741996982,0.25,-0.020000000000000462
1711027928.36457,0.36226560494094684,0.25,-0.020000000000000462
1711027928.427474,0.44116284341527207,0.25,-0.03000000000000025
1711027928.473716,0.373721459910443,0.25,-0.040000000000000036
1711027928.520613,0.2559205757962903,0.25,-0.040000000000000036
1711027928.568721,0.1390057850702694,0.25,-0.040000000000000036
1711027928.630638,0.11931577017409067,0.25,-0.040000000000000036
1711027928.676845,0.2306273626815362,0.25,-0.040000000000000036
1711027928.722973,0.3725856619834508,0.25,-0.040000000000000036
1711027928.785659,0.4626792770938895,0.25,-0.040000000000000036
1711027928.817354,0.39135634713549944,0.25,-0.040000000000000036
1711027928.880371,0.2734985660193358,0.25,-0.04999999999999982
1711027928.927018,0.15664949868391417,0.25,-0.04999999999999982
1711027928.973836,0.13765115255454125,0.25,-0.04999999999999982
1711027929.020317,0.20899249057836522,0.25,-0.04999999999999982
1711027929.068396,0.34866600062814385,0.25,-0.040000000000000036
1711027929.116334,0.43288919153501093,0.25,-0.040000000000000036
1711027929.178736,0.31472429429648385,0.25,-0.03000000000000025
1711027929.225617,0.19741727371675757,0.25,-0.03000000000000025
1711027929.273808,0.09520154407894649,0.25,-0.03000000000000025
1711027929.32045,0.08556903734458314,0.25,-0.03000000000000025
1711027929.382578,0.21561723315883582,0.25,-0.03000000000000025
1711027929.429383,0.35725905715677087,0.25,-0.03000000000000025
1711027929.476752,0.47347479584143876,0.25,-0.03000000000000025
1711027929.523922,0.40852721384051455,0.25,-0.03000000000000025
1711027929.585753,0.2904342633666435,0.25,-0.020000000000000462
1711027929.616468,0.1736257998541396,0.25,-0.020000000000000462
1711027929.663352,0.08656833993481672,0.25,-0.020000000000000462
1711027929.724927,0.16908710782772543,0.25,-0.020000000000000462
1711027929.771611,0.31007197188384555,0.25,-0.020000000000000462
1711027929.818402,0.4449297960290102,0.25,-0.020000000000000462
1711027929.880557,0.4337654957947018,0.25,-0.020000000000000462
1711027929.927275,0.32951439597572174,0.25,-0.020000000000000462
1711027929.974451,0.2121240671048238,0.25,-0.020000000000000462
1711027930.022059,0.10292589495703613,0.25,-0.009999999999999787
1711027930.084716,0.13522850626912775,0.25,-0.009999999999999787
1711027930.116337,0.25912505874880626,0.25,-0.009999999999999787
1711027930.178529,0.4002551454911264,0.25,-0.009999999999999787
1711027930.225476,0.41455886151283544,0.25,-0.009999999999999787
1711027930.271479,0.40209257558657513,0.25,-0.009999999999999787
1711027930.333282,0.2842455517865661,0.25,0.0
1711027930.380973,0.16703066593510632,0.25,0.009999999999999787
1711027930.443047,0.06615325199634528,0.25,0.009999999999999787
1711027930.474691,0.15763111557128018,0.25,0.009999999999999787
1711027930.52141,0.2885794126193023,0.25,0.0
1711027930.56856,0.4260381591779812,0.25,0.0
1711027930.631356,0.43983685852260196,0.25,0.0
1711027930.678213,0.3441456631541062,0.25,0.0
1711027930.725823,0.2266074221508806,0.25,0.0
1711027930.772538,0.11065034744332783,0.25,0.0
1711027930.820416,0.056336330542720865,0.25,0.0
1711027930.867896,0.18155180613684171,0.25,0.0
1711027930.930321,0.32325092221610663,0.25,0.03000000000000025
